promo_id,promo_type,product_id,discount,start_date,end_date
PR0001,Product_Coupon,P0790,19,23/08/2025 21:09,31/08/2025 21:09
PR0002,Mega Sale,P0277,31,13/07/2025 21:07,19/08/2025 21:07
PR0003,Product_Coupon,P0441,25,04/08/2025 01:41,11/09/2025 01:41
PR0004,Mega Sale,P0640,18,22/08/2025 15:31,04/09/2025 15:31
PR0005,Buy 1 get 1,P0291,100,13/07/2025 09:56,23/08/2025 09:56
PR0006,Mega Sale,P0107,22,01/08/2025 16:08,21/09/2025 16:08
PR0007,Brandday,P0136,14,24/07/2025 22:01,30/08/2025 22:01
PR0008,Brandday,P0745,47,18/08/2025 19:29,28/08/2025 19:29
PR0009,Buy 1 get 1,P0841,100,15/08/2025 06:25,22/08/2025 06:25
PR0010,Brandday,P0114,39,11/08/2025 04:43,19/08/2025 04:43
PR0011,Product_Coupon,P0962,38,15/07/2025 06:56,21/08/2025 06:56
PR0012,Mega Sale,P0061,19,26/06/2025 13:15,28/07/2025 13:15
PR0013,Flash Sale,P0255,46,01/08/2025 12:10,09/08/2025 12:10
PR0014,Product_Coupon,P0217,35,21/08/2025 17:23,01/09/2025 17:23
PR0015,Flash Sale,P0189,14,05/09/2025 02:23,18/09/2025 02:23
PR0016,Brandday,P0396,44,01/07/2025 13:39,16/08/2025 13:39
PR0017,Product_Coupon,P0738,11,20/08/2025 06:52,01/09/2025 06:52
PR0018,Flash Sale,P0801,28,05/09/2025 10:33,15/09/2025 10:33
PR0019,Mega Sale,P0337,38,18/07/2025 08:22,09/09/2025 08:22
PR0020,Product_Coupon,P0692,17,25/06/2025 05:41,14/08/2025 05:41
PR0021,Buy 1 get 1,P0639,100,27/06/2025 17:34,03/08/2025 17:34
PR0022,Brandday,P0449,33,16/07/2025 12:56,25/07/2025 12:56
PR0023,Product_Coupon,P0422,14,11/07/2025 15:53,19/07/2025 15:53
PR0024,Flash Sale,P0128,36,22/08/2025 16:38,05/09/2025 16:38
PR0025,Product_Coupon,P0012,32,12/09/2025 17:26,22/09/2025 17:26
PR0026,Mega Sale,P0527,29,14/08/2025 01:45,18/09/2025 01:45
PR0027,Flash Sale,P0911,32,26/06/2025 23:29,06/08/2025 23:29
PR0028,Product_Coupon,P0746,26,14/08/2025 23:32,24/08/2025 23:32
PR0029,Product_Coupon,P0685,14,27/06/2025 10:14,05/07/2025 10:14
PR0030,Buy 1 get 1,P0650,100,08/07/2025 10:40,29/08/2025 10:40
PR0031,Mega Sale,P0069,12,21/08/2025 21:03,30/08/2025 21:03
PR0032,Product_Coupon,P0522,33,02/07/2025 08:12,11/07/2025 08:12
PR0033,Mega Sale,P0965,35,01/08/2025 08:55,08/08/2025 08:55
PR0034,Buy 1 get 1,P0140,100,28/06/2025 21:03,19/08/2025 21:03
PR0035,Flash Sale,P0338,38,27/06/2025 13:39,06/07/2025 13:39
PR0036,Brandday,P0097,21,09/08/2025 13:59,10/09/2025 13:59
PR0037,Brandday,P0818,11,08/07/2025 03:05,07/08/2025 03:05
PR0038,Brandday,P0945,30,21/07/2025 08:11,29/08/2025 08:11
PR0039,Brandday,P0269,48,11/09/2025 16:31,20/09/2025 16:31
PR0040,Mega Sale,P0792,15,28/06/2025 06:57,02/08/2025 06:57
PR0041,Mega Sale,P0334,32,21/07/2025 05:16,03/09/2025 05:16
PR0042,Buy 1 get 1,P0943,100,09/07/2025 09:03,22/07/2025 09:03
PR0043,Product_Coupon,P0780,28,28/07/2025 16:43,05/08/2025 16:43
PR0044,Flash Sale,P0663,49,17/08/2025 01:29,23/09/2025 01:29
PR0045,Mega Sale,P0434,34,18/07/2025 06:06,21/08/2025 06:06
PR0046,Brandday,P0144,19,25/06/2025 05:08,04/07/2025 05:08
PR0047,Flash Sale,P0671,38,06/08/2025 15:42,20/09/2025 15:42
PR0048,Buy 1 get 1,P0380,100,21/07/2025 13:39,30/08/2025 13:39
PR0049,Flash Sale,P0516,28,30/07/2025 08:37,08/08/2025 08:37
PR0050,Buy 1 get 1,P0506,100,31/07/2025 17:45,14/08/2025 17:45
PR0051,Mega Sale,P0977,49,28/08/2025 19:43,06/09/2025 19:43
PR0052,Buy 1 get 1,P0495,100,22/07/2025 05:05,02/08/2025 05:05
PR0053,Flash Sale,P0691,29,24/07/2025 10:52,01/09/2025 10:52
PR0054,Flash Sale,P0704,21,17/07/2025 12:42,31/07/2025 12:42
PR0055,Product_Coupon,P0156,12,30/06/2025 03:55,10/07/2025 03:55
PR0056,Flash Sale,P0772,18,01/07/2025 12:57,07/08/2025 12:57
PR0057,Buy 1 get 1,P0936,100,13/09/2025 05:35,21/09/2025 05:35
PR0058,Brandday,P0615,20,13/07/2025 17:30,05/09/2025 17:30
PR0059,Buy 1 get 1,P0079,100,21/08/2025 05:41,29/08/2025 05:41
PR0060,Buy 1 get 1,P0105,100,23/08/2025 04:41,02/09/2025 04:41
PR0061,Product_Coupon,P0598,46,28/07/2025 14:51,05/08/2025 14:51
PR0062,Product_Coupon,P0445,12,29/08/2025 08:02,11/09/2025 08:02
PR0063,Flash Sale,P0751,49,16/09/2025 06:33,23/09/2025 06:33
PR0064,Product_Coupon,P0473,10,27/07/2025 02:49,02/09/2025 02:49
PR0065,Product_Coupon,P0326,36,17/07/2025 16:58,04/09/2025 16:58
PR0066,Buy 1 get 1,P0546,100,06/07/2025 04:56,23/08/2025 04:56
PR0067,Product_Coupon,P0182,29,11/08/2025 02:29,21/09/2025 02:29
PR0068,Product_Coupon,P0183,25,24/07/2025 13:49,20/09/2025 13:49
PR0069,Product_Coupon,P0925,43,07/09/2025 08:34,20/09/2025 08:34
PR0070,Flash Sale,P0870,32,12/07/2025 02:37,12/08/2025 02:37
PR0071,Brandday,P0726,40,28/06/2025 22:44,20/08/2025 22:44
PR0072,Mega Sale,P0958,30,10/09/2025 22:11,17/09/2025 22:11
PR0073,Buy 1 get 1,P0297,100,18/07/2025 14:12,14/09/2025 14:12
PR0074,Brandday,P0259,25,30/07/2025 07:52,18/09/2025 07:52
PR0075,Mega Sale,P0202,26,22/07/2025 07:13,02/09/2025 07:13
PR0076,Product_Coupon,P0993,19,13/08/2025 06:42,15/09/2025 06:42
PR0077,Mega Sale,P0404,29,26/07/2025 01:24,15/09/2025 01:24
PR0078,Buy 1 get 1,P0980,100,08/08/2025 09:16,18/09/2025 09:16
PR0079,Flash Sale,P0812,30,11/09/2025 08:18,20/09/2025 08:18
PR0080,Flash Sale,P0492,20,09/09/2025 08:11,17/09/2025 08:11
PR0081,Flash Sale,P0810,31,03/08/2025 02:29,12/09/2025 02:29
PR0082,Mega Sale,P0482,22,25/06/2025 23:19,04/07/2025 23:19
PR0083,Buy 1 get 1,P0587,100,06/09/2025 17:03,19/09/2025 17:03
PR0084,Buy 1 get 1,P0656,100,01/08/2025 09:18,10/09/2025 09:18
PR0085,Buy 1 get 1,P0402,100,07/07/2025 19:18,01/09/2025 19:18
PR0086,Product_Coupon,P0934,25,13/08/2025 21:42,12/09/2025 21:42
PR0087,Mega Sale,P0561,28,03/07/2025 07:59,01/09/2025 07:59
PR0088,Product_Coupon,P0623,48,04/09/2025 09:56,13/09/2025 09:56
PR0089,Brandday,P0869,26,28/07/2025 11:50,16/09/2025 11:50
PR0090,Mega Sale,P0763,14,23/07/2025 03:25,20/09/2025 03:25
PR0091,Flash Sale,P0648,35,03/07/2025 20:39,17/07/2025 20:39
PR0092,Mega Sale,P0551,27,27/06/2025 13:14,10/08/2025 13:14
PR0093,Flash Sale,P0067,30,22/07/2025 01:47,22/08/2025 01:47
PR0094,Brandday,P0322,43,15/08/2025 08:13,29/08/2025 08:13
PR0095,Buy 1 get 1,P0964,100,25/07/2025 20:15,09/09/2025 20:15
PR0096,Product_Coupon,P0794,44,23/08/2025 19:40,03/09/2025 19:40
PR0097,Product_Coupon,P0413,21,30/07/2025 12:32,10/09/2025 12:32
PR0098,Brandday,P0769,13,01/07/2025 04:16,14/07/2025 04:16
PR0099,Mega Sale,P0409,13,26/07/2025 01:31,05/08/2025 01:31
PR0100,Brandday,P0975,38,03/09/2025 05:46,15/09/2025 05:46
